GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mini-spotify,com.microservico_java.mini_spotify.security.service,UsuarioDetailsService,34,0,0,0,8,0,3,0,3,0
mini-spotify,com.microservico_java.mini_spotify.security,SwaggerConfig,17,0,0,0,6,0,2,0,2,0
mini-spotify,com.microservico_java.mini_spotify.security,SecurityConfig,254,0,0,0,34,0,13,0,13,0
mini-spotify,com.microservico_java.mini_spotify.security,JwtAuthenticationEntryPoint,14,0,0,0,5,0,2,0,2,0
mini-spotify,com.microservico_java.mini_spotify.exception,GlobalExceptionHandler,118,0,0,0,24,0,5,0,5,0
mini-spotify,com.microservico_java.mini_spotify.controller,GeneroController,0,36,0,0,0,9,0,6,0,6
mini-spotify,com.microservico_java.mini_spotify.controller,AuthController,0,46,0,0,0,11,0,2,0,2
mini-spotify,com.microservico_java.mini_spotify.controller,MusicaController,0,39,0,0,0,7,0,6,0,6
mini-spotify,com.microservico_java.mini_spotify.controller,PlaylistController,8,37,0,0,3,7,0,6,0,6
mini-spotify,com.microservico_java.mini_spotify.controller,AuthController.AuthResponse,4,9,0,0,2,4,1,2,1,2
mini-spotify,com.microservico_java.mini_spotify.controller,UsuarioController,0,33,0,0,0,7,0,5,0,5
mini-spotify,com.microservico_java.mini_spotify.config,WebConfig,8,0,0,0,2,0,2,0,2,0
mini-spotify,com.microservico_java.mini_spotify.config,DataLoader,222,0,4,0,56,0,11,0,9,0
mini-spotify,com.microservico_java.mini_spotify.config,WebConfig.new WebMvcConfigurer() {...},50,0,0,0,7,0,2,0,2,0
mini-spotify,com.microservico_java.mini_spotify,MiniSpotifyApplication,8,0,0,0,3,0,2,0,2,0
mini-spotify,com.microservico_java.mini_spotify.service,MusicaService,21,148,3,1,3,31,3,10,1,10
mini-spotify,com.microservico_java.mini_spotify.service,GeneroService,0,99,0,2,0,23,0,9,0,8
mini-spotify,com.microservico_java.mini_spotify.service,PlaylistService,12,183,4,8,0,37,6,11,2,9
mini-spotify,com.microservico_java.mini_spotify.service,UsuarioService,0,137,0,6,0,28,0,10,0,7
mini-spotify,com.microservico_java.mini_spotify.security.jwt,JwtAuthenticationFilter,92,0,18,0,19,0,11,0,2,0
mini-spotify,com.microservico_java.mini_spotify.security.jwt,JwtUtil,58,0,0,0,22,0,5,0,5,0
mini-spotify,com.microservico_java.mini_spotify.model,Usuario,17,0,0,0,6,0,1,0,1,0
mini-spotify,com.microservico_java.mini_spotify.model,Playlist,14,0,0,0,5,0,1,0,1,0
mini-spotify,com.microservico_java.mini_spotify.model,Musica,4,48,3,3,0,12,3,3,0,3
mini-spotify,com.microservico_java.mini_spotify.model,Genero,0,11,0,0,0,4,0,1,0,1
mini-spotify,com.microservico_java.mini_spotify.dto,MusicaRequestDTO,0,15,0,0,0,1,0,1,0,1
mini-spotify,com.microservico_java.mini_spotify.dto,PlaylistResponseDTO,1,40,1,3,1,10,1,3,0,2
mini-spotify,com.microservico_java.mini_spotify.dto,PlaylistRequestDTO,0,12,0,0,0,1,0,1,0,1
mini-spotify,com.microservico_java.mini_spotify.dto,MusicaResponseDTO,0,43,0,4,0,8,0,4,0,2
mini-spotify,com.microservico_java.mini_spotify.dto,UsuarioRequestDTO,0,12,0,0,0,1,0,1,0,1
mini-spotify,com.microservico_java.mini_spotify.dto,LoginRequestDTO,0,9,0,0,0,1,0,1,0,1
mini-spotify,com.microservico_java.mini_spotify.dto,UsuarioResponseDTO,0,21,0,0,0,3,0,2,0,2
mini-spotify,com.microservico_java.mini_spotify.dto,GeneroRequestDTO,0,6,0,0,0,1,0,1,0,1
mini-spotify,com.microservico_java.mini_spotify.dto,GeneroResponseDTO,0,16,0,0,0,3,0,2,0,2
